Part Number,Description,Qty Required,Preferred Vendor,Notes
010-00098,"ASY,ENCLOSURE,WELDED,DRYER",1.0,,
010-00099,"ASY,ENCLOSURE,WELDED,BOP",1.0,,
010-00157,"ASSY, BASE PLATE, WATER TOWER, SW, W/ RIV NUTS, AMUR",1.0,,
010-00158,"ASSY, BASE PLATE, WATER TOWER, SE, W/ RIV NUTS, AMUR",1.0,,
010-00159,"ASSY, BASE PLATE, WATER TOWER, NW, W/ RIV NUTS, AMUR",1.0,,
010-00160,"ASSY, BASE PLATE, WATER TOWER, NE, W/ RIV NUTS, AMUR",1.0,,
100-00254,"TANK, PRIMARY, AMUR",1.0,,
100-00255,"TANK, THERMAL LOOP, AMUR",1.0,,
100-00305,"BRACKET, MOUNTING, PRIMARY TANK, AMUR",2.0,,
100-00306,"BRACKET, MOUNTING, THERMAL TANK, AMUR",2.0,,
100-00340,"PIPE RUN, TANK_PUMP, PRIMARY LOOP",1.0,,
100-00342,"PIPE RUN, PUMP_HX, PRIMARY LOOP",1.0,,
100-00345,"MOUNTING PLANE, PRE_INLET DI, WATER TOWER, AMUR",1.0,,
100-00355,"PIPE RUN, BLADE_BYPASS, PRIMARY LOOP",1.0,,
100-00356,"PIPE RUN, HX_FILTER_1, PRIMARY LOOP",1.0,,
100-00357,"PIPE RUN, HX_FILTER_2, PRIMARY LOOP",1.0,,
100-00358,"PIPE RUN, TANK_PUMP, THERMAL LOOP",1.0,,
100-00359,"PIPE RUN, PUMP_HX, THERMAL LOOP",1.0,,
100-00360,"PIPE RUN, HX_RADIATOR, THERMAL LOOP",1.0,,
100-00361,"PIPE RUN, RADIATOR_TANK_1, THERMAL LOOP",1.0,,
100-00362,"PIPE RUN, RADIATOR_TANK_2, THERMAL LOOP",1.0,,
100-00365,"TANK, LID, PRE_PROCESS, LPPS, AMUR",1.0,,
100-00367,"FAN MOUNT, PRE_PROCESS, LPPS, AMUR",1.0,,
100-00370,"WLDMT, TANK, PRE_PROCESS, LPPS, AMUR",1.0,,
100-00374,"ADAPTER, DN50 COMPAC FLANGE_TRI CLAMP, 316SS",1.0,,
100-00379,"DEFLECTOR BAFFLE, PRE-PROCESS, LPPS, AMUR",1.0,,
100-00391,"BASE PLATE, PANEL, REGEN EXHAUST, H2, AMUR",1.0,,
100-00392,"BASE PLATE, PANEL, REGEN SUPPLY, H2, AMUR",1.0,,
100-00393,"BASE PLATE, PANEL, DRIER INLET, H2, AMUR",2.0,,
100-00402,"BRACKET, MOUNTING, PUMP, AMUR",1.0,,
100-00403,"BASE PLATE, HX PIPE ROUTING, WATER TOWER, AMUR",1.0,,
100-00404,"BASE PLATE, HX, WATER TOWER, AMUR",1.0,,
100-00405,"BRACKET, MOUNTING, HX, RIGHT",1.0,,
100-00406,"BRACKET, MOUNTING, HX, LEFT",1.0,,
100-00407,"BRACKET, MOUNTING, BYPASS ASSY, LONG",1.0,,
100-00408,"BRACKET, MOUNTING, BYPASS ASSY, SHORT",1.0,,
100-00409,"BASE PLATE, POLISHING DI, WATER TOWER, AMUR",1.0,,
100-00410,"BASE PLATE, WATER TOWER, SW, AMUR",1.0,,
100-00411,"BASE PLATE, WATER TOWER, SE, AMUR",1.0,,
100-00412,"BASE PLATE, WATER TOWER, NW, AMUR",1.0,,
100-00413,"BASE PLATE, WATER TOWER, NE, AMUR",1.0,,
100-00415,"BRACKET, HEATER MOUNT, H2 TOWER, AMUR",1.0,,
100-00416,"BASE PLATE, PANEL, PRESSURE RELEIF, H2, AMUR",1.0,,
100-00425,"SHELF, INLET DI, AMUR",1.0,,
100-00426,"MOUNT PLATE, INLET WATER, AMUR",1.0,,
100-00427,"BRACKET, H2 CONDENSOR, MAIN, AMUR",1.0,,
100-00428,"BRACKET, H2 CONDENSOR, LEFT, AMUR",1.0,,
100-00429,"BRACKET, H2 CONDENSOR, RIGHT, AMUR",1.0,,
100-00432,"BASE PLATE, MID-PLANE, TOP, H2 TOWER, AMUR",1.0,,
100-00433,"BASE PLATE, MID-PLANE, BOTTOM, H2 TOWER, AMUR",1.0,,
100-00470,"BRACKET, STANDOFF, INLET DI WATER PANEL, AMUR",3.0,,
100-00478,"ENCLOSURE, MODIFIED, H2 SENSOR BOX, WATER TOWER, AMUR",1.0,MCMASTER-CARR,supplier PN: 6942K611
100-00479,"BACK PLANE, MODIFIED, H2 SENSOR BOX, WATER TOWER, AMUR",1.0,,
100-00480,"BASE PLATE, O2 OUTLET, WATER TOWER, AMUR",1.0,,
100-00482,"UNISTRUNT, 1-5/8 X 1-5/8, SLOTTED, STEEL, POWDER COAT, WHITE, 42.25"" LONG",4.0,,
100-00483,"UNISTRUNT, 1-5/8 X 1-5/8, SLOTTED, STEEL, POWDER COAT, WHITE, 44"" LONG",4.0,,
100-00484,"UNISTRUNT, 1-5/8 X 1-5/8, SLOTTED, STEEL, POWDER COAT, WHITE, 20.4"" LONG",2.0,,
100-00485,"UNISTRUT, 1-5/8 X 1-5/8, SLOTTED, STEEL, POWDER COAT, WHITE, 21"" LONG",1.0,,
100-00486,"UNISTRUT, 1-5/8 X 1-5/8, SLOTTED, STEEL, POWDER COAT, WHITE, 13"" LONG",2.0,,
100-00507,RO MEMBRANE FLUSH PUMP BRAKCET,1.0,,
120-00011,"FLANGE NUT, M8 X1.25, CLASS 8 ZP",,MCMASTER-CARR,supplier PN: 90374A114
120-00013,"SCREW, M5 X 0.8 - 16 MM, FLANGE HHCS, CLASS 8.8 ZYP",,MCMASTER-CARR,supplier PN: 94036A522
120-00048,"SCREW, M6 X 1.0 X 20 MM, BHCS, ZN",,BELMETRIC,supplier PN: SB6X20CLZ
120-00049,"SCREW, M5 X 2.24 MM, 12MM LONG, THREAD FORMING, STEEL, ZN PLATED",,MCMASTER-CARR,supplier PN: 90380A388
120-00050,"NUT M6 X 1 MM, FLANGED, CLASS 10, STEEL, ZN PLATED",,MCMASTER-CARR,supplier PN: 95003A101
120-00052,"WASHER, SEALING, 0.5 IN, PTFE, WHITE",7.0,MCMASTER-CARR,supplier PN: 96371A207
120-00053,"WASHER, SEALING, 0.25 IN, PTFE, WHITE",3.0,MCMASTER-CARR,supplier PN: 96371A201
120-00055,"WASHER, SEALING, 0.5 IN, 18-8SS, NEOPRENE",,MCMASTER-CARR,supplier PN: 94709A518
120-00056,"FLANGE NUT, M6 X1, CLASS 8 ZP",,MCMASTER-CARR,supplier PN: 90374A112
120-00057,"SCREW, 10-32, 3/8 LONG, BUTTON HEAD, 18-8SS",,MCMASTER-CARR,supplier PN: 92949A263
120-00058,"SCREW, M6 X 1.0, 20MM LONG, HEX FLANGE, CLASS 8.8, ZN",,BELMETRIC,supplier PN: BF6X20CLZ | alt: MCMASTER-CARR 94036A221
120-00059,"SCREW, M6 X 1.0, 20MM LONG, BUTTON HEAD, 18-8SS",,MCMASTER-CARR,supplier PN: 92095A240
120-00060,"SCREW, M4 X 0.7, 14MM LONG, CLASSS 10.9, BUTTON HEAD, ZN-PLATED STL",,MCMASTER-CARR,supplier PN: 91306A728
120-00062,"SCREW, M4 X 0.7, 45MM LONG, CLASSS 8.8, HEX HEAD, ZN-PLATED STL",10.0,MCMASTER-CARR,supplier PN: 91280A149
120-00064,"SCREW, M8 X 1.25, 25MM LONG, CLASSS 8.8, HEX HEAD, FLANGED, ZN-PLATED STL",,MCMASTER-CARR,supplier PN: 94036A425
120-00065,"WASHER, M4, 9 MM OD, 18-8 STAINLESS",,MCMASTER-CARR,supplier PN: 93475A230
120-00066,"SCREW, 1/2-13, 25.4MM LONG, ZN-PLATED STL, HEX HEAD, FLANGED",,MCMASTER-CARR,supplier PN: 92979A463
120-00067,"SCREW, 3/8-16, 25.4MM LONG, ZN-PLATED STL, HEX HEAD, FLANGED",,MCMASTER-CARR,supplier PN: 92979A344
120-00073,"SCREW, M5 X 0.8 - 10 MM, BHCS, CLASS 8.8 ZP",,MCMASTER-CARR,supplier PN: 91306A757
120-00075,"SCREW, M10 X 1.5 X 25 MM, HHCS FLANGED, CLASS 10.9, ZN",,MCMASTER-CARR,supplier PN: 93474A222
120-00077,"SCREW, M12 X 1.75 X 30 MM, HHCS FLANGED, CLASS 10.9, ZN",,MCMASTER-CARR,supplier PN: 93474A232
120-00078,"SCREW, M12 X 1.75 X 45 MM, HHCS FLANGED, CLASS 8.8, ZN",2.0,MCMASTER-CARR,supplier PN: 94036A467
120-00079,"SCREW, M14 X 2 X 45 MM, HHCS, CLASS 8.8, ZN",6.0,MCMASTER-CARR,supplier PN: 91280A784
120-00080,"SCREW, M16 X 2 X 55 MM, HHCS, CLASS 8.8, ZN",8.0,MCMASTER-CARR,supplier PN: 91280A845
120-00081,"SCREW, 3/8-16, 2.75 IN LONG, ZN-PLATED STL, HEX HEAD",40.0,MCMASTER-CARR,supplier PN: 91247A635
120-00083,"FLANGE NUT, M10 X 1.5, CLASS 10 ZP",,MCMASTER-CARR,supplier PN: 95003A103
120-00085,"FLANGE NUT, M12 X 1.75, CLASS 10 ZP",,MCMASTER-CARR,supplier PN: 95003A104
120-00086,"FLANGE NUT, M14 X 2, CLASS 8 ZP",,MCMASTER-CARR,supplier PN: 90374A120
120-00087,"FLANGE NUT, M16 X 2, CLASS 10 ZP",8.0,MCMASTER-CARR,supplier PN: 95003A105
120-00090,"WASHER, OVERSIZED, M10 X 25 MM OD, ZP",,MCMASTER-CARR,supplier PN: 97310A116
120-00093,"WASHER, SPLIT LOCK, M14, ZP",,MCMASTER-CARR,supplier PN: 91202A250
120-00094,"WASHER, SPLIT LOCK, M16, ZP",,MCMASTER-CARR,supplier PN: 91202A253
120-00095,"FLANGE NUT, M6 X 1.0, 18-8SS",,MCMASTER-CARR,supplier PN: 93033A101
120-00104,"RIVET NUT SS, M5 X 0.8MM, 11.5MM LONG",,MCMASTER-CARR,supplier PN: 93388A130
120-00106,"WASHER, NO. 10, OVERSIZED, 0.69"" OD, ZN PLATED STL",,MCMASTER-CARR,supplier PN: 91090A125
120-00118,"WASHER, M12, 19MM OD, 18-8 SS",4.0,,
120-00120,"SCREW, M8 X 1.25 X 65MM LONG, FLANGED HEX, ZN",2.0,MCMASTER-CARR,supplier PN: 94036A398
120-00130,"SCREW, M6 X 1 MM, 70MM LONG, HEX, CLS 8.8, ZN PLATED",,MCMASTER-CARR,supplier PN: 91280A352
140-00010,"ADAPTER, 0.125 FNPT X 0.5 MNPT, 316SS",,MCMASTER-CARR,supplier PN: 4452K164
140-00023,"ADAPTER, 0.25 COMP X 0.5 MNPT, STRAIGHT, 316SS",2.0,Superlok,supplier PN: SMC-4-8N | alt: MCMASTER-CARR 5182K113
140-00025,"ADAPTER, 0.5 COMP X 0.5 MNPT, 316SS",,Superlok,supplier PN: SMC-8-8N | alt: MCMASTER-CARR 5182K135
140-00034,"ELBOW, 0.5 IN COMP X 0.5 IN COMP, 316SS",,MCMASTER-CARR,supplier PN: 5182K417 | alt: Superlok SUE-8
140-00036,"TEE, 0.5 IN COMP, 316SS",,Superlok,supplier PN: SUT-8-S316 | alt: MCMASTER-CARR 5182K437
140-00098,"CAP, TRI-CLAMP,  1.5"", 304 SS",,DUVA SANITARY,supplier PN: 16AMP4-100-150 | alt: MCMASTER-CARR 4322K221
140-00101,"DEIONIZER RESIN BED, MIXED, DOUBLE STANDARD",2.0,ON THE GO,supplier PN: OTG2-SDDI
140-00106,"BAG FILTER HOUSING, SIZE 2, 316SS, 2"" FLANGE, PRM FILTRATION",1.0,PRM Filtration,supplier PN: BFHBFH2SS316LTRIXV2
140-00116,"FAN, AXIAL, 120x120, ATEX, 24VDC",1.0,Mechatronics Fan Group,supplier PN: LPT12A99-BTHR-2EM-EX
140-00120,"BOOST PUMP MOTOR, MARATHON MOTORS, 3/4HP",1.0,Marathon Motors,supplier PN: HG714
140-00121,Pump (RV PD) - Boost,1.0,PROCON,supplier PN: 113A060F31CA 250
140-00125,"PUMP, CENTRIFUGAL, CAST IRON, ECOCIRC XL 70-145",1.0,Bell & Gossett,supplier PN: 104315
140-00126,"FILTER, BAG, SIZE #2, 5 MICRON",1.0,PRM Filtration,supplier PN: BFPE5P2SX
140-00127,"PUMP, CENTRIFUGAL, SS, ECOCIRC XL N 110-180",2.0,Bell & Gossett,supplier PN: 104476LF
140-00128,"FLANGE, PUMP, 1.5"", SS",2.0,Bell & Gossett,supplier PN: 101504LF
140-00129,"RESIN TANK, MIXED BED, OTG2-SDILU",4.0,ON THE GO,supplier PN: OTG2-SDILU
140-00130,"HEAT EXCHANGER, BRAZED PLATE, SWEP, B220Mx120",1.0,SWEP,supplier PN: B220Mx120
140-00131,"UV LIGHT, IN-LINE, 110-240VAC, PURIORON 1000H",1.0,PURION GmbH,supplier PN: PURION 1000 H OPD
140-00137,"ADAPTER, 0.5 PUSH X 0.5 MNPT, NYLON, WHITE",,MCMASTER-CARR,supplier PN: 7852T17
140-00175,"BLOCK CLAMP, 2 IN, PP, DIN 3015-1",5.0,MCMASTER-CARR,supplier PN: 3015T32
140-00178,"BLOCK CLAMP, 0.5 IN, PP, DIN 3015-1",2.0,MCMASTER-CARR,supplier PN: 3015T23
140-00182,"TRI-CLAMP, WING NUT, 1 TO 1.5 IN, 304SS",,DUVA SANITARY,supplier PN: 13MHHM-16-24 | alt: MCMASTER-CARR 4322K152
140-00183,"TRI-CLAMP, WING NUT, 2 IN, 304SS",,DUVA SANITARY,supplier PN: 13MHHM-32 | alt: MCMASTER-CARR 4322K153
140-00219,"TEE, 0.25 IN COMP, 316SS",1.0,Superlok,supplier PN: SUT-4
140-00220,"PORT CONNECTOR, 0.25 IN COMP, 316 SS",,Superlok,supplier PN: SPC-4
140-00222,"FLANGE, COMPAC, DN50, PIPE SIZE 2 WELD NECK, 316SS",8.0,SWEP,supplier PN: 28223 / CD001644
140-00223,"FLANGE, COMPAC, DN50, G 2"", 316SS",4.0,SWEP,supplier PN: 28223 / CD001643
140-00227,"ADAPTER, 2"" PIPE FLANGE, 2"" TUBE OD TRI-CLAMP, CLASS 150, 316L SS",4.0,MCMASTER-CARR,supplier PN: 50485K866
140-00228,"BALL VALVE, MANUAL, 2 IN TRI-CLAMP, 316SS",1.0,ZORO,supplier PN: 3666MMCE020 | alt: MCMASTER-CARR 44755K115
140-00229,"ADAPTER, 1.5 MNPT, 2 IN TUBE TRI CLAMP, 316LSS",6.0,ZORO,supplier PN: EG21-6L2.0X1.5 | alt: MCMASTER-CARR 50485K254
140-00230,"FLANGE, PUMP, 1"", SS",1.0,Bell & Gossett,supplier PN: 101502LF
140-00231,"ADAPTER, 1"" MNPT, 1 IN TUBE TRI CLAMP, 316LSS",2.0,ZORO,supplier PN: EG21-6L1.0 | alt: MCMASTER-CARR 50485K511
140-00232,"SPOOL, TRI-CLAMP, 2"" TUBE, 4"" LONG, 316LSS",1.0,MCMASTER-CARR,supplier PN: 50485K76
140-00233,"ADAPTER, 2"" ID BLOCK CLAMP, SCREW MOUNT",5.0,MCMASTER-CARR,supplier PN: 3015T186
140-00234,"CLAMP, ROUTING, VIBRATION DAMPING, 2"" ID",4.0,MCMASTER-CARR,supplier PN: 11355T76
140-00235,"CLAMP, STANDOFF, ADJUSTABLE, PIPE SIZE 12",2.0,RELINER-DURAN,supplier PN: 12SS40 | alt: MCMASTER-CARR 3116T75
140-00236,"CLAMP, STANDOFF, ADJUSTABLE, PIPE SIZE 10",2.0,RELINER-DURAN,supplier PN: 10SS40-900 | alt: MCMASTER-CARR 3116T74
140-00237,"SPOOL, TRI-CLAMP, TEE REDUCER, 2"" TO 1"" TUBE, 316LSS",4.0,GETPIPE,supplier PN: SS7RMP-2X1-316L | alt: MCMASTER-CARR 50485K295
140-00238,"SPOOL, TRI-CLAMP, 90 DEG ELBOW, 2"" TUBE, 316LSS",1.0,GETPIPE,supplier PN: SS2CMP-2-316L | alt: MCMASTER-CARR 50485K113
140-00239,"SPOOL, TRI-CLAMP, SHORT TEE, 2"" TUBE, 316LSS",2.0,ZORO,supplier PN: S7MPS-2-PL-316 | alt: MCMASTER-CARR 4759K848
140-00247,"GASKET, TRI-CLAMP, 2 IN TUBE OD, FKM CORE, PTFE ENVELOPE, WHITE",,DUVA SANITARY,supplier PN: A40MPGR-SFY-200
140-00248,"ADAPTER, G0.5 X 1-1.5 SANITARY FLANGE, IFM, E43311",2.0,IFM,supplier PN: E43311
140-00249,"ADAPTER, G0.5 X 0.75 NPT, IFM, E43313",,IFM,supplier PN: E43313
140-00250,"BRACKET, 4 CYLINDER, WALL-MOUNT, WITH STRAP",1.0,MCMASTER-CARR,supplier PN: 2283T18
140-00251,"ADAPTER, 2"" TUBE SANITARY FLANGE, SIZE 2 BUTT WELD PIPE, 316L SS",8.0,MCMASTER-CARR,supplier PN: 50485K858
140-00252,"BRACKET, 2 CYLINDER, WALL-MOUNT, WITH STRAP",1.0,MCMASTER-CARR,supplier PN: 2283T72
140-00253,"STRUT BRACKET, 90 DEGREE, 3 HOLE, STEEL",21.0,MCMASTER-CARR,supplier PN: 33125T136
140-00256,"STRUT CLAMP, PIPE SIZE 0.75, 1"" ID, ZINC-PLATED STEEL",6.0,MCMASTER-CARR,supplier PN: 3115T15
140-00257,"GASKET, TRI-CLAMP, 1 IN TUBE OD, FKM CORE, PTFE ENVELOPE, WHITE",,DUVA SANITARY,supplier PN: A40MPGR-SFY-100
140-00258,"TEE, SHORT, TRI-CLAMP, 1"" TUBE OD, 316 SS",5.0,ZORO,supplier PN: S7MPS-1-PL-316 | alt: MCMASTER-CARR 4759K846
140-00259,"ELBOW, 90 DEGREE, TRI-CLAMP, 1"" TUBE OD, 316 SS",9.0,DUVA SANITARY,supplier PN: 2CMP6-100 | alt: MCMASTER-CARR 50485K111
140-00260,"SPOOL, TRI-CLAMP, 1"" TUBE OD, 18 IN LONG, 316 SS",3.0,MCMASTER-CARR,supplier PN: 50485K73-50485K733
140-00261,"BALL VALVE, MANUAL, 1 IN TRI-CLAMP, 316SS",2.0,ZORO,supplier PN: 3666TMCE010 | alt: MCMASTER-CARR 44755K113
140-00262,"ADAPTER, 1"" PIPE FLANGE, 1"" TUBE OD TRI-CLAMP, CLASS 150, 316L SS",2.0,GETPIPE,supplier PN: B38MP-R100 | alt: MCMASTER-CARR 50485K864
140-00263,"SPOOL, TRI-CLAMP, 1"" TUBE OD, 12 IN LONG, 316 SS",2.0,GW KENT,supplier PN: 607-21 | alt: MCMASTER-CARR 50485K73-50485K732
140-00264,"VALVE, CHECK, TRI-CLAMP, 1 IN TUBE OD, 316SS",1.0,GETPIPE,supplier PN: SS45CV-1-316L | alt: MCMASTER-CARR 46295k61
140-00265,"ADAPTER, 0.75 COMPRESSION, 0.75 FNPT, 316 SS",,MCMASTER-CARR,supplier PN: 5182k803 | alt: Superlok SFC 12-12N
140-00266,"ADAPTER, 0.75 MNPT, 1"" TUBE OD TRI-CLAMP, 316 SS",4.0,GETPIPE,supplier PN: SS21MP-1.5X0.75-316L | alt: MCMASTER-CARR 50485k252
140-00267,"SENSOR, CONDUCTIVITY, IFM, LDL101",7.0,IFM,supplier PN: LDL101
140-00268,"SPOOL, TRI-CLAMP, 1"" TUBE OD, 4 IN LONG, 316 SS",2.0,MCMASTER-CARR,supplier PN: 50485K73-50485K734
140-00269,"SENSOR, FLOW, IFM, SUH201",1.0,IFM,supplier PN: SUH201
140-00270,"ADAPTER, 0.5 FNPT, 1"" TUBE OD TRI-CLAMP, 316 SS",1.0,DUVA SANITARY,supplier PN: 22MP6-100050 | alt: MCMASTER-CARR 4322K874
140-00271,"TEE, TRI-CLAMP, REDUCING, 1"" TUBE OD, 0.75"" TUBE OD, 316 SS",2.0,GETPIPE,supplier PN: SS7RMP-1X0.75-316L | alt: MCMASTER-CARR 50485K286
140-00272,"ADAPTER, 0.75 MNPT, 0.75"" TUBE OD TRI-CLAMP, 316 SS",2.0,MCMASTER-CARR,supplier PN: 45195k792
140-00273,"TRI-CLAMP, WING NUT, 0.5 to 0.75 IN, 304SS",2.0,MCMASTER-CARR,supplier PN: 45195K44
140-00274,"GASKET, TRI-CLAMP, 0.75 IN TUBE OD, FKM CORE, PTFE ENVELOPE, WHITE",2.0,DUVA SANITARY,supplier PN: A40MPGR-SFY-075
140-00275,"GASKET, FLANGE, PIPE SIZE 2, 4 HOLE, CLASS 150, 1/16"" THK, PTFE",4.0,MCMASTER-CARR,supplier PN: 9483K52
140-00276,"GASKET, FLANGE, PIPE SIZE 1, 4 HOLE, CLASS 150, 1/16"" THK, PTFE",2.0,MCMASTER-CARR,supplier PN: 9483K48
140-00277,"SENSOR, FLOW, IFM, SUH401, SUH400",1.0,IFM,supplier PN: SUH401
140-00278,"BALL VALVE, AUTOMATED, 2 IN TUBE OD TRI CLAMP, 24VDC, VALWORX",3.0,Valworx,supplier PN: 570704C
140-00279,"CAP, TRI-CLAMP,  2"", 316L SS",1.0,DUVA SANITARY,supplier PN: 16AMP6-200 | alt: MCMASTER-CARR 50485K222
140-00280,"VALVE, CHECK, TRI-CLAMP, 2 IN TUBE OD, PTFE SEAL, 316SS",2.0,GETPIPE,supplier PN: SS45CV-2-316L | alt: MCMASTER-CARR 46295k73
140-00281,"NUT, STRUT CHANNEL, SPRING, 1/2-13, ZINC PLATED",,MCMASTER-CARR,supplier PN: 3259T15
140-00282,"NUT, STRUT CHANNEL, SPRING, 3/8-16, ZINC PLATED",,MCMASTER-CARR,supplier PN: 3259T14
140-00283,"STRUT, 1-5/8, 1 FT LONG, MOUNTING PLATE, 2 HOLE, ZINC PLATED STEEL",2.0,MCMASTER-CARR,supplier PN: 3188T401
140-00285,"ADAPTER, FLANGE, 4"" QUICK CONNECT DUCT, 304SS",,NORDFAB,supplier PN: 8040401842
140-00289,"ELBOW, 90 DEGREE, 0.75 MGHT X 0.75 FGHT, INTEGRATED BALL VALVE, 304 SS",4.0,AMAZON,
140-00291,"HOSE, BRAIDED, 24"" LONG, 1"" OD TUBE TRI CLAMP, 316 SS",1.0,MCMASTER-CARR,supplier PN: 1111N15-1111N153
140-00293,"HOSE, BRAIDED, 60"" LONG, 1"" OD TUBE TRI CLAMP, 316 SS",1.0,MCMASTER-CARR,supplier PN: 1111N15-1111N159
140-00297,"BLOCK CLAMP, ALUMINUM, 0.5 ID, WELD ON",24.0,MCMASTER-CARR,supplier PN: 3050T72 | alt: ZORO H3008S-AL
140-00298,"HANDLE, 180MM, M5, 303 STAINLESS STEEL",,MCMASTER-CARR,supplier PN: 7088A73
140-00299,"MANIFOLD, 1 NPT X 3/4 NPT, 8 OUTLET, ALUMINUM, ANODIZED",1.0,MCMASTER-CARR,supplier PN: 5975K54
140-00300,"ADAPTER, 0.75 MNPT X 0.5 COMP, 316 SS",6.0,Superlok,supplier PN: SMC8-12N | alt: MCMASTER-CARR
140-00301,"PLUG, 0.75 MNPT, HIGH PRESSURE, 316SS",,ZORO,supplier PN: 1RTL3
140-00302,"PLUG, 1 MNPT, HIGH PRESSURE, 316SS",1.0,ZORO,supplier PN: 1RTH8 | alt: MCMASTER-CARR 4443K726
140-00303,"GROMMET, 1.5 IN HOLE DIA, 1/8"" PANEL THK, BLACK",,MCMASTER-CARR,supplier PN: 9600K72
140-00305,"ELBOW,  90 DEGREE, 1 COMP, 1 NPT, 316SS",1.0,MCMASTER-CARR,supplier PN: 5182K843 | alt: Superlok SME-16-16N
140-00306,"TUBE STEM, 1"" OD, 316 SS",,MCMASTER-CARR,supplier PN: 5182K03 | alt: Superlok SPC-16
140-00307,"FITTING, BULKHEAD, 1"" COMP, 316SS",1.0,MCMASTER-CARR,supplier PN: 5182K847 | alt: Superlok SBHU-16
140-00309,"FITTING, BULKHEAD, 0.25"" COMP, 316SS",,MCMASTER-CARR,supplier PN: 5182K375 | alt: Superlok SBHU-4
140-00318,"RIV NUT, 3/8-16, ZINC PLATED STEEL",,MCMASTER-CARR,supplier PN: 95105A159
140-00319,"RIV NUT, M12X1.75, ZINC PLATED STEEL",,ZORO,supplier PN: ALS4T-12175-5.1 | alt: MCMASTER-CARR 95105A208
140-00320,"RIV NUT, M6X1, ZINC PLATED STEEL",,MCMASTER-CARR,supplier PN: 95105A183
140-00321,"RIV NUT, M8X1.25, ZINC PLATED STEEL",,MCMASTER-CARR,supplier PN: 95105A191
140-00322,"ELBOW, 0.5 COMP X 0.25 COMP, 316SS",2.0,Superlok,supplier PN: SRUE-8-4-S316 | alt: MCMASTER-CARR 5182K412
140-00323,"TEE, 0.25 COMP X 0.25 FNPT, 316SS",,MCMASTER-CARR,supplier PN: 5182K319 | alt: Superlok SFBT 4-4N
140-00324,"ELBOW, 0.25 MNPT X 0.375 PUSH TO CONNECT, NYLON",12.0,MCMASTER-CARR,supplier PN: 5779K158
140-00325,"VALVE, BALL, 0.5 MNPT, LOCKABLE, 316SS",1.0,MCMASTER-CARR,supplier PN: 45395K118
140-00330,"VALVE, BALL, 0.5"", PUSH TO CONNECT, PP, WHITE",,HOSE WAREHOUSE,supplier PN: LFPP8VUC8 | alt: MCMASTER-CARR 4379K136
140-00337,"ELBOW, 0.5 PUSH TO CONNECT, 0.5 UNIVERSAL THREAD, SS",4.0,HOSE WAREHOUSE,supplier PN: 60111X-08-06 | alt: MCMASTER-CARR 7610N136
140-00338,"ELBOW, 0.5 PUSH TO CONNECT, 0.375 UNIVERSAL THREAD, SS",2.0,MCMASTER-CARR,supplier PN: 7610N135
140-00339,"ADAPTER, 0.5 PUSH TO CONNECT, 0.5 UNIVERSAL THREAD, STRAIGHT, SS",3.0,MCMASTER-CARR,supplier PN: 7610N123
140-00350,"THERMOCOUPLE -TYPE K , SURFACE ADHESIVE, UNGROUNDED, 10FT,  TEMP -68 TO 260 C",,Evolution Sensors and Controls,supplier PN: K5X-TAPE-REC-FW-1-PFXX-120-MPCX
140-00351,"SENSOR, FLOW, IFM, 1/2"" NPT, SU6621",2.0,ifm,supplier PN: SU6621
140-00353,"FLOW SWITCH, 1/4"" TUBING",1.0,AMERITROL,supplier PN: IM-2525
140-00355,"SANITARY SAMPLE COOK VALVE, 1/2"" NPT",,TRYNOX,supplier PN: TSCVMC0.5
140-00356,"ELBOW, 0.5 COMP x 0.5 MNPT, 90 DEGREE, 316SS",,Superlok,supplier PN: SME8-8N-S316
140-00357,"CONNECTOR, WYE, 0.5 PUSH TO CONNECT, NYLON, WHITE",2.0,MCMASTER-CARR,supplier PN: 7852T632
140-00358,"ELBOW, 90 DEGREE, 0.5 PUSH TO CONNECT, NYLON, WHITE",,MCMASTER-CARR,supplier PN: 7852T54
140-00359,"ADAPTER, 0.5 FNPT, 0.5 PUSH TO CONNECT, BRASS, NICKEL PLATED",14.0,MCMASTER-CARR,supplier PN: 7880T177
140-00360,"ADAPTER, STRAIGHT, 0.5 PUSH TO CONNECT, NYLON, WHITE",,MCMASTER-CARR,supplier PN: 7852T33
140-00361,"ELBOW, 90 DEGREE, 0.5 PUSH TO CONNECT, 0.5 MNPT, NYLON, BLACK",1.0,MCMASTER-CARR,supplier PN: 5779K217
140-00362,"ADAPTER, 0.5"" ID BLOCK CLAMP, SCREW MOUNT",2.0,MCMASTER-CARR,supplier PN: 3015T182
140-00364,"ADAPTER. 0.75 MNPT, 0.5 MNPT, 316SS",,MCMASTER-CARR,supplier PN: 4452K869 | alt: AMAZON B0G3WLDQLB
140-00365,"TEE, 0.75 FNPT, 316SS",4.0,MCMASTER-CARR,supplier PN: 4452K435
140-00367,"ADAPTER, 0.375 MNPT, 0.125 FNPT, 316SS",1.0,MCMASTER-CARR,supplier PN: 4452K162
140-00368,"ADAPTER, 0.5 PUSH TO CONNECT, 0.5 BSPT, BRASS, NICKEL PLATED",2.0,MCMASTER-CARR,supplier PN: 5779K396
140-00369,"REDUCER, 1 BSPT, 0.5 BSPT, 316SS",2.0,MCMASTER-CARR,supplier PN: 5273N215
